id,user_id,title,release_dt,genre,vote,popularity,liked
1,1,Sonic the Hedgehog 3,12/19/2024,28,7.9,4770.711,1
1,1,Sonic the Hedgehog 3,12/19/2024,878,7.9,4770.711,1
1,1,Sonic the Hedgehog 3,12/19/2024,35,7.9,4770.711,1
1,1,Sonic the Hedgehog 3,12/19/2024,10751,7.9,4770.711,1
2,1,Moana 2,11/21/2024,16,7.195,2859.74,0
2,1,Moana 2,11/21/2024,12,7.195,2859.74,0
2,1,Moana 2,11/21/2024,10751,7.195,2859.74,0
2,1,Moana 2,11/21/2024,35,7.195,2859.74,0
2,1,Moana 2,11/21/2024,9648,7.195,2859.74,0
3,1,Kraven the Hunter,12/11/2024,28,6.6,2594.062,0
3,1,Kraven the Hunter,12/11/2024,878,6.6,2594.062,0
3,1,Kraven the Hunter,12/11/2024,12,6.6,2594.062,0
3,1,Kraven the Hunter,12/11/2024,14,6.6,2594.062,0
3,1,Kraven the Hunter,12/11/2024,53,6.6,2594.062,0
4,1,Back in Action,1/15/2025,28,6.667,2073.405,0
4,1,Back in Action,1/15/2025,35,6.667,2073.405,0
5,1,Alarum,1/16/2025,28,5.648,1765.156,0
5,1,Alarum,1/16/2025,80,5.648,1765.156,0
5,1,Alarum,1/16/2025,53,5.648,1765.156,0
6,1,Sniper: The Last Stand,1/21/2025,28,6.8,1642.199,0
6,1,Sniper: The Last Stand,1/21/2025,53,6.8,1642.199,0
7,1,Nosferatu,12/25/2024,27,6.6,1515.687,0
7,1,Nosferatu,12/25/2024,14,6.6,1515.687,0
8,1,Raiders of the Lost Ark,6/12/1981,12,7.926,1391.984,1
8,1,Raiders of the Lost Ark,6/12/1981,28,7.926,1391.984,1
9,1,Babygirl,12/25/2024,18,5.7,1381.149,0
10,1,Mufasa: The Lion King,12/18/2024,12,7.4,1296.067,0
10,1,Mufasa: The Lion King,12/18/2024,10751,7.4,1296.067,0
10,1,Mufasa: The Lion King,12/18/2024,16,7.4,1296.067,0
11,1,దేవర: Part 1,9/26/2024,28,6.9,1115.602,0
11,1,దేవర: Part 1,9/26/2024,18,6.9,1115.602,0
12,1,Gladiator II,11/5/2024,28,6.749,1088.76,0
12,1,Gladiator II,11/5/2024,12,6.749,1088.76,0
12,1,Gladiator II,11/5/2024,18,6.749,1088.76,0
13,1,Venom: The Last Dance,10/22/2024,28,6.8,1088.679,0
13,1,Venom: The Last Dance,10/22/2024,878,6.8,1088.679,0
13,1,Venom: The Last Dance,10/22/2024,12,6.8,1088.679,0
14,1,The Substance,9/7/2024,27,7.137,1078.969,0
14,1,The Substance,9/7/2024,878,7.137,1078.969,0
15,1,Den of Thieves 2: Pantera,1/8/2025,28,6.757,947.441,0
15,1,Den of Thieves 2: Pantera,1/8/2025,80,6.757,947.441,0
15,1,Den of Thieves 2: Pantera,1/8/2025,53,6.757,947.441,0
16,1,Werewolves,12/4/2024,28,6.217,936.891,0
16,1,Werewolves,12/4/2024,27,6.217,936.891,0
16,1,Werewolves,12/4/2024,53,6.217,936.891,0
17,1,Nr. 24,10/30/2024,10752,7.239,909.027,0
17,1,Nr. 24,10/30/2024,36,7.239,909.027,0
17,1,Nr. 24,10/30/2024,18,7.239,909.027,0
18,1,Le clitoris,6/18/2016,16,6.6,891.545,0
18,1,Le clitoris,6/18/2016,99,6.6,891.545,0
19,1,Le Jardinier,1/30/2025,28,5.9,870.125,0
19,1,Le Jardinier,1/30/2025,35,5.9,870.125,0
20,1,Star Trek: Section 31,1/15/2025,878,4.4,812.745,0
20,1,Star Trek: Section 31,1/15/2025,12,4.4,812.745,0
20,1,Star Trek: Section 31,1/15/2025,28,4.4,812.745,0
20,1,Star Trek: Section 31,1/15/2025,18,4.4,812.745,0
20,1,Star Trek: Section 31,1/15/2025,10770,4.4,812.745,0
21,1,Elevation,11/7/2024,28,6.225,770.021,0
21,1,Elevation,11/7/2024,878,6.225,770.021,0
